rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_genre,artist_popularity,album_cover_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,week
49,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,11,66,38,12571629,pop,100,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28E-05,0.0925,0.403,89.937,audio_features,3hUxzQpSfdDqwM3ZTFQY0K,https://api.spotify.com/v1/tracks/3hUxzQpSfdDqwM3ZTFQY0K,https://api.spotify.com/v1/audio-analysis/3hUxzQpSfdDqwM3ZTFQY0K,261923,4,Oct26
50,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,32,73,44,12514156,"pop,r&b,rap",87,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,audio_features,4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4,Oct26
51,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,"Feid, Young Miko",Classy 101,UMLE - Latino,8,67,30,12490094,"colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino",88,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,0.859,0.658,11,-4.79,1,0.159,0.145,0,0.12,0.672,100.065,audio_features,6XSqqQIy7Lm7SnwxS4NrGx,https://api.spotify.com/v1/tracks/6XSqqQIy7Lm7SnwxS4NrGx,https://api.spotify.com/v1/audio-analysis/6XSqqQIy7Lm7SnwxS4NrGx,195987,4,Oct26
52,spotify:track:6WzRpISELf3YglGAh7TXcG,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,XO / Republic Records,16,68,21,12329706,"canadian contemporary r&b,canadian pop,pop",92,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,0.855,0.678,1,-6.276,1,0.189,0.0569,3.69E-05,0.412,0.852,99.029,audio_features,6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/tracks/6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/audio-analysis/6WzRpISELf3YglGAh7TXcG,215467,4,Oct26
53,spotify:track:2FDTHlrBguDzQkp7PVj16Q,"Dave, Central Cee",Sprinter,Neighbourhood / Live Yours,6,65,21,12311135,uk hip hop,78,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,0.916,0.583,1,-8.067,1,0.241,0.186,0,0.0798,0.661,141.095,audio_features,2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/audio-analysis/2FDTHlrBguDzQkp7PVj16Q,226383,4,Oct26
54,spotify:track:2sTDlCxmuZCTDKKk9f1qus,Bad Bunny,WHERE SHE GOES,Rimas Entertainment LLC,2,24,23,12242659,"reggaeton,trap latino,urbano latino",96,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,0.651,0.799,9,-4.02,0,0.0611,0.143,0.634,0.112,0.223,143.992,audio_features,2sTDlCxmuZCTDKKk9f1qus,https://api.spotify.com/v1/tracks/2sTDlCxmuZCTDKKk9f1qus,https://api.spotify.com/v1/audio-analysis/2sTDlCxmuZCTDKKk9f1qus,231704,4,Oct26
55,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,Junior H,Y LLORO,WEA Latina,55,104,3,12138831,"corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno",87,https://i.scdn.co/image/ab67616d0000b273f3ba6742a35f111aaea1ca2f,0.728,0.589,7,-7.115,1,0.0376,0.424,7.78E-06,0.166,0.767,77.475,audio_features,6RcAHyC5sAUIbPTkhOQwd8,https://api.spotify.com/v1/tracks/6RcAHyC5sAUIbPTkhOQwd8,https://api.spotify.com/v1/audio-analysis/6RcAHyC5sAUIbPTkhOQwd8,179013,4,Oct26
56,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,2,74,47,12119372,rap,85,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,audio_features,2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4,Oct26
57,spotify:track:6wsqVwoiVH2kde4k4KKAFU,Travis Scott,I KNOW ?,Cactus Jack/Epic,14,70,13,12108880,"hip hop,rap,slap house",90,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,0.927,0.619,5,-4.441,0,0.0539,0.0186,0,0.104,0.817,117.995,audio_features,6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582,4,Oct26
58,spotify:track:2yzshFeBIwH8tWIqHEFLeD,"Grupo Frontera, Bad Bunny",un x100to,Grupo Frontera,1,64,28,12097744,musica chihuahuense,83,https://i.scdn.co/image/ab67616d0000b27382ce4c7bbf861185252e82ae,0.571,0.72,9,-4.089,1,0.0458,0.213,0,0.271,0.542,83.827,audio_features,2yzshFeBIwH8tWIqHEFLeD,https://api.spotify.com/v1/tracks/2yzshFeBIwH8tWIqHEFLeD,https://api.spotify.com/v1/audio-analysis/2yzshFeBIwH8tWIqHEFLeD,194563,4,Oct26
59,spotify:track:1s7oOCT8vauUh01PbJD6ps,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,9,80,61,12029451,"afrobeats,nigerian pop",76,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7,0.799,0.802,11,-5.196,1,0.0371,0.429,0.00128,0.171,0.811,107.008,audio_features,1s7oOCT8vauUh01PbJD6ps,https://api.spotify.com/v1/tracks/1s7oOCT8vauUh01PbJD6ps,https://api.spotify.com/v1/audio-analysis/1s7oOCT8vauUh01PbJD6ps,239318,4,Oct26
60,spotify:track:3qQbCzHBycnDpGskqOWY0E,"Eslabon Armado, Peso Pluma",Ella Baila Sola,DEL Records,1,71,32,11957480,"corrido,corridos tumbados,sad sierreno,sierreno",77,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89E-05,0.0837,0.834,147.989,audio_features,3qQbCzHBycnDpGskqOWY0E,https://api.spotify.com/v1/tracks/3qQbCzHBycnDpGskqOWY0E,https://api.spotify.com/v1/audio-analysis/3qQbCzHBycnDpGskqOWY0E,165671,3,Oct26
61,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,75,44,11817005,pop,100,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,audio_features,4R2kfaDFhslZEMJqAFNpdd,https://api.spotify.com/v1/tracks/4R2kfaDFhslZEMJqAFNpdd,https://api.spotify.com/v1/audio-analysis/4R2kfaDFhslZEMJqAFNpdd,239560,4,Oct26
62,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,81,204,11783258,"canadian contemporary r&b,canadian pop,pop",92,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,Oct26
63,spotify:track:3NhstUmrlhaN1M6hP8zMbb,Bad Bunny,BABY NUEVA,Rimas Entertainment LLC,19,19,2,11773551,"reggaeton,trap latino,urbano latino",96,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,0.866,0.63,10,-4.816,0,0.0616,0.504,0.000505,0.328,0.359,117.924,audio_features,3NhstUmrlhaN1M6hP8zMbb,https://api.spotify.com/v1/tracks/3NhstUmrlhaN1M6hP8zMbb,https://api.spotify.com/v1/audio-analysis/3NhstUmrlhaN1M6hP8zMbb,240774,4,Oct26
64,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,IAMSOUND,55,79,53,11763089,"indie folk,stomp and holler",72,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,audio_features,3hRV0jL3vUpRrcy398teAU,https://api.spotify.com/v1/tracks/3hRV0jL3vUpRrcy398teAU,https://api.spotify.com/v1/audio-analysis/3hRV0jL3vUpRrcy398teAU,208212,3,Oct26
65,spotify:track:1YnChEM51BVZ5dRhbVFEMl,"Bad Bunny, Bryant Myers",SEDA,Rimas Entertainment LLC,18,18,2,11742950,"reggaeton,trap latino,urbano latino",96,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,0.706,0.566,6,-6.441,0,0.126,0.268,1.02E-06,0.111,0.23,125.876,audio_features,1YnChEM51BVZ5dRhbVFEMl,https://api.spotify.com/v1/tracks/1YnChEM51BVZ5dRhbVFEMl,https://api.spotify.com/v1/audio-analysis/1YnChEM51BVZ5dRhbVFEMl,190476,4,Oct26
66,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,15,82,31,11643510,k-pop,80,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,0.629,0.733,7,-5.445,1,0.0419,0.0025,0,0.357,0.362,120.001,audio_features,3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/audio-analysis/3Ua0m0YmEjrMi9XErKcNiR,212241,4,Oct26
67,spotify:track:3FvTHuefYV6TxE3Kseqno8,"Gabito Ballesteros, Natanael Cano",LOU LOU,Los CT Records,67,-1,1,11584606,"corrido,sierreno",81,https://i.scdn.co/image/ab67616d0000b27338c5b1d6170ff3120bbbaf42,0.739,0.579,7,-8.361,0,0.0509,0.0622,0,0.454,0.694,130.002,audio_features,3FvTHuefYV6TxE3Kseqno8,https://api.spotify.com/v1/tracks/3FvTHuefYV6TxE3Kseqno8,https://api.spotify.com/v1/audio-analysis/3FvTHuefYV6TxE3Kseqno8,188000,3,Oct26
68,spotify:track:5sdQOyqq2IDhvmx2lHOpwd,NewJeans,Super Shy,ADOR,9,77,16,11538976,"k-pop,k-pop girl group",81,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44E-05,0.146,0.515,149.921,audio_features,5sdQOyqq2IDhvmx2lHOpwd,https://api.spotify.com/v1/tracks/5sdQOyqq2IDhvmx2lHOpwd,https://api.spotify.com/v1/audio-analysis/5sdQOyqq2IDhvmx2lHOpwd,154667,4,Oct26
69,spotify:track:3xMHXmedL5Rvfxmiar9Ryv,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",Chaleya,T-Series,22,61,8,11526969,"desi hip hop,filmi,tamil hip hop",84,https://i.scdn.co/image/ab67616d0000b273e452a6e11147f3e56aee6f5b,0.575,0.845,0,-5.28,1,0.0852,0.393,0.0107,0.131,0.439,95.047,audio_features,3xMHXmedL5Rvfxmiar9Ryv,https://api.spotify.com/v1/tracks/3xMHXmedL5Rvfxmiar9Ryv,https://api.spotify.com/v1/audio-analysis/3xMHXmedL5Rvfxmiar9Ryv,200374,4,Oct26
70,spotify:track:0O3U5iwTbiXCREMkvotJuN,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,Grupo Frontera,57,98,12,11517087,musica chihuahuense,83,https://i.scdn.co/image/ab67616d0000b27382ce4c7bbf861185252e82ae,0.616,0.834,9,-3.069,1,0.0664,0.06,0,0.338,0.746,151.701,audio_features,0O3U5iwTbiXCREMkvotJuN,https://api.spotify.com/v1/tracks/0O3U5iwTbiXCREMkvotJuN,https://api.spotify.com/v1/audio-analysis/0O3U5iwTbiXCREMkvotJuN,165848,4,Oct26
71,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",71,84,62,11323120,pop,100,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76E-05,0.0607,0.193,135.917,audio_features,1R0a2iXumgCiFb7HEZ7gUE,https://api.spotify.com/v1/tracks/1R0a2iXumgCiFb7HEZ7gUE,https://api.spotify.com/v1/audio-analysis/1R0a2iXumgCiFb7HEZ7gUE,236413,4,Oct26
72,spotify:track:3IX0yuEVvDbnqUwMBB3ouC,Olivia Rodrigo,bad idea right?,Olivia Rodrigo PS,5,76,11,11302285,pop,87,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,0.627,0.879,9,-3.446,1,0.0955,0.00193,6.87E-06,0.0647,0.748,129.979,audio_features,3IX0yuEVvDbnqUwMBB3ouC,https://api.spotify.com/v1/tracks/3IX0yuEVvDbnqUwMBB3ouC,https://api.spotify.com/v1/audio-analysis/3IX0yuEVvDbnqUwMBB3ouC,184784,4,Oct26
73,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,Kali Uchis,Moonlight,Geffen Records,37,85,33,11211147,colombian pop,81,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,0.642,0.706,7,-6.872,0,0.052,0.518,0,0.25,0.896,136.851,audio_features,0JmnkIqdlnUzPaf8sqBRs3,https://api.spotify.com/v1/tracks/0JmnkIqdlnUzPaf8sqBRs3,https://api.spotify.com/v1/audio-analysis/0JmnkIqdlnUzPaf8sqBRs3,187723,4,Oct26
74,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,16,86,35,11079375,"hip hop,rap",82,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49E-06,0.109,0.62,78.558,audio_features,7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4,Oct26
75,spotify:track:54zcJnb3tp9c5OVKREZ1Is,KAROL G,MI EX TENÍA RAZÓN,Bichota/Interscope Records,22,88,11,11060876,"reggaeton,reggaeton colombiano,trap latino,urbano latino",88,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03,0.634,0.725,5,-4.945,0,0.0587,0.0776,0,0.211,0.795,159.845,audio_features,54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/tracks/54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/audio-analysis/54zcJnb3tp9c5OVKREZ1Is,154375,4,Oct26
76,spotify:track:2TJKY0WSFufZOzbRNgl6zE,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",ELOVRGA,Rios Music/ Outerspace Music/ Boba Records Corporation,59,89,8,11030922,corrido,68,https://i.scdn.co/image/ab67616d0000b273c470398d2c6a0005706d9876,0.793,0.476,5,-10.515,0,0.0406,0.132,0,0.115,0.578,129.992,audio_features,2TJKY0WSFufZOzbRNgl6zE,https://api.spotify.com/v1/tracks/2TJKY0WSFufZOzbRNgl6zE,https://api.spotify.com/v1/audio-analysis/2TJKY0WSFufZOzbRNgl6zE,194769,4,Oct26
77,spotify:track:5h1BN75CEh8wdSwE1xrbSe,V,Slow Dancing,BIGHIT MUSIC,13,72,7,11022823,"j-division,korean ost",81,https://i.scdn.co/image/ab67616d0000b2738e504c5aedaae49a73ed4963,0.579,0.63,8,-7.758,1,0.058,0.257,0.00462,0.0986,0.552,155.96,audio_features,5h1BN75CEh8wdSwE1xrbSe,https://api.spotify.com/v1/tracks/5h1BN75CEh8wdSwE1xrbSe,https://api.spotify.com/v1/audio-analysis/5h1BN75CEh8wdSwE1xrbSe,187027,4,Oct26
78,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,78,161,3,11011021,pov: indie,81,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918,0.662,0.488,9,-6.894,1,0.0682,0.782,0,0.102,0.817,117.913,audio_features,0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347,4,Oct26
79,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,14,95,38,10977647,contemporary country,85,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,0.492,0.675,6,-5.456,1,0.0389,0.467,0,0.142,0.478,203.759,audio_features,7K3BhSpAxZBznislvUMVtn,https://api.spotify.com/v1/tracks/7K3BhSpAxZBznislvUMVtn,https://api.spotify.com/v1/audio-analysis/7K3BhSpAxZBznislvUMVtn,163855,4,Oct26
80,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,50,92,149,10763139,"permanent wave,pop",85,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4,Oct26
81,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,102,255,10742749,"dfw rap,melodic rap,pop,rap",86,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,audio_features,0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/audio-analysis/0RiRZpuVRbi7oqRdSMwhQY,157560,4,Oct26
82,spotify:track:6IPwKM3fUUzlElbvKw2sKl,girl in red,we fell in love in october,world in red,73,91,13,10577874,"bedroom pop,indie pop,norwegian indie,pov: indie",74,https://i.scdn.co/image/ab67616d0000b273d6839051c4760457e1a60b2a,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,audio_features,6IPwKM3fUUzlElbvKw2sKl,https://api.spotify.com/v1/tracks/6IPwKM3fUUzlElbvKw2sKl,https://api.spotify.com/v1/audio-analysis/6IPwKM3fUUzlElbvKw2sKl,184154,4,Oct26
83,spotify:track:6gcuJpHu0Ey30D5WR76y98,JENNIE,You & Me,YG Entertainment/Interscope Records,56,83,3,10504330,k-pop,74,https://i.scdn.co/image/ab67616d0000b2738cd1023ed6ec97598937d55c,0.787,0.573,9,-6.197,1,0.0606,0.0147,1.72E-05,0.0926,0.575,111.996,audio_features,6gcuJpHu0Ey30D5WR76y98,https://api.spotify.com/v1/tracks/6gcuJpHu0Ey30D5WR76y98,https://api.spotify.com/v1/audio-analysis/6gcuJpHu0Ey30D5WR76y98,179164,4,Oct26
84,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,99,250,10484959,"pop,uk pop",78,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,audio_features,7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,182161,4,Oct26
85,spotify:track:31nfdEooLEq7dn3UMcIeB5,BENNETT,Vois sur ton chemin - Techno Mix,Warner Music Central Europe,85,121,5,10409940,,68,https://i.scdn.co/image/ab67616d0000b2731b96e645016c4d431842aa93,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,audio_features,31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/tracks/31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/audio-analysis/31nfdEooLEq7dn3UMcIeB5,178156,4,Oct26
86,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,105,35,10409209,pop,100,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,0.642,0.62,8,-7.091,1,0.0666,0.0734,0,0.483,0.0969,90.02,audio_features,7KokYm8cMIXCsGVmUvKtqf,https://api.spotify.com/v1/tracks/7KokYm8cMIXCsGVmUvKtqf,https://api.spotify.com/v1/audio-analysis/7KokYm8cMIXCsGVmUvKtqf,204852,4,Oct26
87,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,Interscope Records,7,107,73,10353356,"piano rock,pop",80,https://i.scdn.co/image/ab67616d0000b273fedd3df3fa6f52c42fbb9e08,0.697,0.802,0,-6.412,1,0.0456,0.0988,3.55E-05,0.0614,0.822,139.951,audio_features,4fYte8ZvTK14NEhAOZocBi,https://api.spotify.com/v1/tracks/4fYte8ZvTK14NEhAOZocBi,https://api.spotify.com/v1/audio-analysis/4fYte8ZvTK14NEhAOZocBi,148120,4,Oct26
88,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,88,155,3,10207177,"canadian contemporary r&b,canadian pop,pop",92,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262,0.522,0.641,8,-6.287,1,0.0318,0.0545,0,0.162,0.202,87.51,audio_features,7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW,https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW,244685,4,Oct26
89,spotify:track:6irysuQyZWd7Bjj7ePiOs2,Jhayco,Holanda,N&E Entertainment LLC,29,97,11,10201663,"reggaeton,trap latino,urbano latino",81,https://i.scdn.co/image/ab67616d0000b273cd2ceb6adaa32ecc83cec5c3,0.831,0.759,1,-3.627,0,0.0502,0.277,0,0.125,0.244,107.961,audio_features,6irysuQyZWd7Bjj7ePiOs2,https://api.spotify.com/v1/tracks/6irysuQyZWd7Bjj7ePiOs2,https://api.spotify.com/v1/audio-analysis/6irysuQyZWd7Bjj7ePiOs2,231693,4,Oct26
90,spotify:track:2UW7JaomAMuX9pZrjVpHAU,"Yng Lvcas, Peso Pluma",La Bebe - Remix,WM Mexico,3,94,32,10189461,reggaeton,70,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9,0.812,0.479,2,-5.678,0,0.333,0.213,1.21E-06,0.0756,0.559,169.922,audio_features,2UW7JaomAMuX9pZrjVpHAU,https://api.spotify.com/v1/tracks/2UW7JaomAMuX9pZrjVpHAU,https://api.spotify.com/v1/audio-analysis/2UW7JaomAMuX9pZrjVpHAU,234353,4,Oct26
91,spotify:track:7F4tV8SiUy6itZTdAzdafO,Nadhif Basalamah,penjaga hati,After School,91,154,2,10138731,indonesian r&b,65,https://i.scdn.co/image/ab67616d0000b2735c60335b52110564cbe57176,0.509,0.359,2,-8.993,1,0.0279,0.879,0.0289,0.19,0.329,155.799,audio_features,7F4tV8SiUy6itZTdAzdafO,https://api.spotify.com/v1/tracks/7F4tV8SiUy6itZTdAzdafO,https://api.spotify.com/v1/audio-analysis/7F4tV8SiUy6itZTdAzdafO,260346,4,Oct26
92,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,2,103,61,10116555,"big room,dance pop,edm,pop,pop dance",84,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07E-06,0.371,0.304,128.04,audio_features,4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,175238,4,Oct26
93,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,81,101,23,10101307,"lgbtq+ hip hop,neo soul",81,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,0.545,0.545,9,-7.362,1,0.107,0.667,5.48E-05,0.417,0.549,159.94,audio_features,3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,184516,3,Oct26
94,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),OVO/Republic,28,100,3,10098029,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,0.645,0.729,2,-4.56,1,0.0528,0.0377,0,0.384,0.142,146.01,audio_features,1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/tracks/1yeB8MUNeLo9Ek1UEpsyz6,https://api.spotify.com/v1/audio-analysis/1yeB8MUNeLo9Ek1UEpsyz6,319192,4,Oct26
95,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Summertime Sadness,Urban,83,110,63,10020902,"art pop,pop",88,https://i.scdn.co/image/ab67616d0000b273959280fee07d485cb5b56fe7,0.568,0.646,1,-6.793,0,0.0332,0.0464,0,0.121,0.211,111.945,audio_features,1FEiijYPJtyswChfcpv3p0,https://api.spotify.com/v1/tracks/1FEiijYPJtyswChfcpv3p0,https://api.spotify.com/v1/audio-analysis/1FEiijYPJtyswChfcpv3p0,264773,4,Oct26
96,spotify:track:2InS5VWKJQbsFBKOsf1cJB,"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",Let's Go 4,GR6 Music,88,145,6,9986277,rave funk,68,https://i.scdn.co/image/ab67616d0000b273a2ab8a2b4cbbf685827eb835,0.782,0.631,10,-8.473,0,0.592,0.123,0,0.0808,0.866,113.427,audio_features,2InS5VWKJQbsFBKOsf1cJB,https://api.spotify.com/v1/tracks/2InS5VWKJQbsFBKOsf1cJB,https://api.spotify.com/v1/audio-analysis/2InS5VWKJQbsFBKOsf1cJB,641941,5,Oct26
